0400000US01 211 834 774
0400000US02 211 2801 3888
0400000US04 211 74 82
0400000US05 211 949 1785
0400000US06 211 10169 8216
0400000US08 211 6176 8993
0400000US12 211 280 120
0400000US17 211 1315 1182
0400000US18 211 143 217
0400000US20 211 3314 3840
0400000US21 211 921 960
0400000US22 211 13122 8584
0400000US26 211 1294 905
0400000US27 211 30 13
0400000US28 211 1062 1358
0400000US29 211 47 53
0400000US30 211 763 1284
0400000US31 211 105 87
0400000US32 211 70 47
0400000US35 211 3918 3691
0400000US36 211 536 937
0400000US37 211 11 14
0400000US38 211 1265 2882
0400000US39 211 1453 1311
0400000US40 211 18905 17283
0400000US41 211 36 5
0400000US42 211 2032 8046
0400000US46 211 55 35
0400000US47 211 122 173
0400000US48 211 63361 77647
0400000US49 211 1214 1983
0400000US51 211 526 247
0400000US54 211 2633 2743
0400000US56 211 4800 5760
